Store_Name,Address,lat,lgt,center_latitude,center_longitude,NumPanels,YearlyEnergy,SolarArea
Camp Creek Parkway,"3410 Camp Creek Pkwy, Atlanta, GA 30344",33.656436,-84.5016629,33.6564603,-84.50166960000001,84,45551.496,164.93861
Canton Marketplace,"2048 Cumming Hwy, Canton, GA 30115",34.2361792,-84.4534882,34.2361335,-84.45350499999999,77,43942.383,151.19373
Carrollton,"1316 S Park St, Carrollton, GA 30117",33.554566,-85.072209,33.5546511,-85.07227879999999,9,5254.849,17.671993
Cascade Road,"3725 Cascade Rd SW, Atlanta, GA 30331",33.7244757,-84.51121169999999,33.724473599999996,-84.5112125,104,58658.242,204.2097
Cedartown [GA],"1610 Rome Hwy, Cedartown, GA 30125",34.0477576,-85.2353303,34.0476959,-85.23508029999999,53,31872.086,104.068405
Chamblee Plaza,"5450 Peachtree Industrial Blvd, Chamblee, GA 30341",33.9578746,-84.2123801,33.9572229,-84.2132779,653,387479.63,1282.2013
Chastain Road In-Line DT,"600 Chastain Rd NW Ste 100, Kennesaw, GA 30144",34.0369882,-84.5696724,34.0369277,-84.56957919999999,198,112871.94,388.78387
Chastain Square,"4285 Roswell Rd NE, Atlanta, GA 30342",33.8718466,-84.3805299,33.87186,-84.3805254,519,311497.03,1019.08496
Cherokee Place,"115 Cherokee Pl, Cartersville, GA 30121",34.1712186,-84.7863399,34.17115,-84.7858599,922,569339.75,1810.3976
Children's Hospital of Georgia,"1446 Harper St, Augusta, GA 30912",33.4711973,-81.987893,33.4707565,-81.9877327,7,4016.3625,13.7448845
Clayton,"151 Highway 441 N, Clayton, GA 30525",34.880374,-83.3970794,34.880380699999996,-83.3971018,114,68054.664,223.84526
Cleveland (GA),"25 W Underwood St, Cleveland, GA 30528",34.595049,-83.7638097,34.595050199999996,-83.7638169,115,69474.46,225.8088
Cleveland Avenue,"1065 Cleveland Ave, East Point, GA 30344",33.6817951,-84.4239609,33.681813,-84.4239674,90,47916.17,176.71994
CNN Center,"1 Cnn Ctr NW Ste 224, Atlanta, GA 30303",33.758129,-84.3943694,33.7578441,-84.39476979999999,5128,2781851,10069.109
College Football Hall of Fame,"256 Marietta St NW, Atlanta, GA 30313",33.7604153,-84.3954498,33.7601957,-84.3955103,2603,1501454.9,5111.1333
Colony Square,"1175 Peachtree St NE, Atlanta, GA 30361",33.7869752,-84.3827183,33.786938299999996,-84.3827099,479,229829.97,940.5428
Columbus Park Crossing,"5520 Whittlesey Blvd, Columbus, GA 31909",32.5452239,-84.94508019999999,32.545228,-84.94509719999999,105,62735.9,206.17326
Columbus State University,"4225 University Ave, Columbus, GA 31907",32.5023087,-84.9414487,32.5026155,-84.9416517,474,295292.38,930.725
Commerce,"30563 Highway 441 S, Commerce, GA 30529",34.2576527,-83.46373170000001,34.257657699999996,-83.46372850000002,107,65095.88,210.10037
Conyers,"1536 Highway 138 SE, Conyers, GA 30013",33.6498024,-84.00972639999999,33.6496882,-84.00929300000001,186,107876.07,365.2212
Cordele,"1711 E 16th Ave, Cordele, GA 31015",31.9609019,-83.7544693,31.9610379,-83.75443469999999,126,72352.484,247.40791
Cornelia,"330 Furniture Plaza Dr, Cornelia, GA 30531",34.5358727,-83.53468149999999,34.535872,-83.53467880000001,122,74112.8,239.5537
Covington (GA),"4102 Highway 278 NW, Covington, GA 30014",33.6034699,-83.8660201,33.603473099999995,-83.8660262,170,102967.98,333.80432
Covington Town Center,"11500 Town Center Drive, Covington, GA 30014",33.620113,-83.8403529,33.6191824,-83.8385064,4813,3025923.3,9450.59
Coweta Crossroads,"5 Glenda Trce, Newnan, GA 30265",33.4091293,-84.685892,33.409138899999995,-84.68592369999999,107,62121.24,210.10037
Cumberland Mall,"2860 Cumberland Mall SE Ste 1324, Atlanta, GA 30339",33.87976829999999,-84.46785990000001,33.8802012,-84.46859959999999,20227,12178606,39716.824
Dacula,"545 Dacula Rd, Dacula, GA 30019",34.0002637,-83.9082099,34.0002683,-83.90820649999999,63,36570.914,123.70396
Dahlonega,"488 Morrison Moore Pkwy E, Dahlonega, GA 30533",34.5343259,-83.9757283,34.5343276,-83.9757855,137,77116.73,269.00702
Dallas (GA),"300 Charlie Watts Dr, Dallas, GA 30157",33.90794959999999,-84.8226571,33.9079596,-84.8226538,74,42966.035,145.30305
Dalton,"1429 W Walnut Ave, Dalton, GA 30720",34.7598377,-84.9946093,34.759778,-84.9943284,161,95073.58,316.13232
Dalton Mall,"816 Walnut Square Blvd Ste 59, Dalton, GA 30721",34.758607,-84.93352720000001,34.7588814,-84.9333465,18594,11144096,36510.34
Dawsonville,"231 Power Center Dr, Dawsonville, GA 30534",34.3567254,-84.04444610000002,34.3567148,-84.0444298,130,76857.22,255.26213
Delta Air Lines Headquarters,"1030 Delta Blvd, Atlanta, GA 30354",33.656213,-84.4238195,33.6562193,-84.4240785,3841,2275817,7542.014
Doraville Plaza,"5700 Buford Hwy Ne, Doraville, GA 30340",33.9076345,-84.2691001,33.9076579,-84.2691129,70,40196.746,137.44884
Douglas [GA],"1305 Peterson Ave S, Douglas, GA 31533",31.4909572,-82.8514837,31.489889,-82.85169030000002,637,390020.38,1250.7844
Douglasville,"3202 Highway 5, Douglasville, GA 30135",33.7173488,-84.76417339999999,33.7172914,-84.7641747,445,241993.19,873.7819
Downtown Athens In-Line,"101 College Ave, Athens, GA 30601",33.9579795,-83.375638,33.957909799999996,-83.3756915,405,232964.55,795.23975
Downtown Decatur,"105 E Trinity Pl, Decatur, GA 30030",33.7730408,-84.2960895,33.773043699999995,-84.2960907,83,45515.547,162.97505
Dublin,"2002 Veterans Blvd, Dublin, GA 31021",32.5406478,-82.9483703,32.5406435,-82.94839110000001,89,55027.293,174.75638
Dwarf House Chick-fil-A Classics Mt. Berry Square,"726 Mount Berry Sq NE, Rome, GA 30165",34.2853865,-85.18810909999999,34.28556890000001,-85.18714969999999,618,310822.03,1213.4769
Dwarf House Shipping Container Drive-Thru,"315 Riverside Pkwy NE, Rome, GA 30161",34.2624016,-85.1706586,34.2624221,-85.17066899999999,419,246518.66,822.7295
Eagles Corner,"333 Tormenta Way, Statesboro, GA 30458",32.410124,-81.79080499999999,,,,,
Eagles Landing,"1275 Eagles Landing Pkwy, Stockbridge, GA 30281",33.5062747,-84.22854009999999,33.5062703,-84.2285411,51,31506.613,100.1413
East Lake,"2105 Roswell Rd, Marietta, GA 30062",33.9665793,-84.4918909,33.9665805,-84.49192529999999,90,52036.465,176.71994
Eisenhower Parkway,"5055 Brookhaven Rd, Macon, GA 31206",32.8111833,-83.7214212,32.8111337,-83.7214192,69,41403.22,135.48529
Ellijay,"475 Howard Simmons Rd, Ellijay, GA 30540",34.6584596,-84.4927554,34.6584548,-84.49278780000002,123,67365.49,241.51724
Epps Bridge,"1870 Epps Bridge Pkwy, Athens, GA 30606",33.9170969,-83.4428769,33.917099900000004,-83.442875,97,58934.31,190.46483
Fairburn,"7810 Senoia Rd, Fairburn, GA 30213",33.5435184,-84.5762541,33.5435059,-84.57629770000001,72,42196.79,141.37595
Fairburn Road Drive-Thru Only,"5888 Fairburn Rd, Douglasville, GA 30134",33.75081790000001,-84.7265974,33.7508397,-84.7265752,5,2906.8384,9.817774
Fayetteville Dwarf House,"221 Banks Sta, Fayetteville, GA 30214",33.467444,-84.446589,33.4674951,-84.4465278,205,115402.95,402.52875
Fayetteville Towne Center,"875 Glynn St S, Fayetteville, GA 30214",33.4298632,-84.45870169999999,33.4298611,-84.45870029999999,82,48448.08,161.0115
Forest Park Dwarf House,"4959 Jonesboro Rd, Forest Park, GA 30297",33.6190338,-84.351778,33.6190346,-84.35174839999999,127,75241.15,249.37146
Forsyth [GA],"101 Industrial Park Dr, Forsyth, GA 31029",33.0269482,-83.91425079999999,33.027423899999995,-83.9129318,7,4204.831,13.7448845
Fort Oglethorpe,"1137 Battlefield Pkwy, Fort Oglethorpe, GA 30742",34.9531909,-85.2451405,34.9531868,-85.2451406,71,39781.54,139.4124
Fort Valley State University,"1005 State University Dr, Fort Valley, GA 31030",32.541077,-83.89598769999999,,,,,
Gainesville West,"805 Dawsonville Hwy, Gainesville, GA 30501",34.2968468,-83.8558336,34.2968384,-83.8558376,84,50256.03,164.93861
Georgia College and State University,"231 W Hancock St, Milledgeville, GA 31061",33.0827363,-83.23187229999999,33.0827654,-83.231904,1992,1268119.1,3911.4014
Georgia Gwinnett College,"1000 University Center Ln, Lawrenceville, GA 30043",33.9814112,-84.0000397,33.9814034,-84.0000562,1833,1100394.5,3599.196
Georgia Southern University,"8107 Russell Un, Statesboro, GA 30460",32.4259367,-81.7828033,32.4258921,-81.7831642,146,77060.18,286.67902
Georgia Southern University - Armstrong Campus,"11935 Abercorn St, Savannah, GA 31419",31.978225,-81.16483199999999,31.9782463,-81.16495689999999,2024,1191691.6,3974.235
Georgia Southwestern State University,"800 Gsw State University Dr, Americus, GA 31709",32.05501,-84.2161405,32.055157,-84.21682469999999,638,380895.63,1252.748
Georgia State University,"66 Courtland Street, Atlanta, GA 30303",33.7592065,-84.3840369,33.7593003,-84.38442719999999,85,38222.832,166.90216
Georgia State University - Petit Science Center,"100 Piedmont Avenue SE, Atlanta, GA 30303",33.7510285,-84.38558130000001,33.7508457,-84.38550219999999,782,424878,1535.4999
Georgia Tech,"350 Ferst Dr NW, Atlanta, GA 30332",33.7742484,-84.398842,33.7739994,-84.3986637,1903,1123176.9,3736.6448
Glenwood Place,"401 Bill Kennedy Way SE, Atlanta, GA 30316",33.7423181,-84.3584968,33.742316599999995,-84.3584861,104,57942.8,204.2097
Godley Station,"205 Grand Central Boulevard, Pooler, GA 31322",32.131333,-81.25762499999999,32.131787599999996,-81.2575511,704,434590.63,1382.3427
Grady Memorial Hospital,"80 Jesse Hill Jr Dr Se, Atlanta, GA 30303",33.7514934,-84.3826634,33.751743399999995,-84.3820892,4060,2092196,7972.0327
Griffin,"1000 W Taylor St, Griffin, GA 30223",33.2470719,-84.2785214,33.2470779,-84.2785139,202,113308.73,396.6381
Grovetown,"210 Meridian Dr, Grovetown, GA 30813",33.4786328,-82.1984083,33.4788093,-82.19693199999999,164,99105.02,322.023
Gulfstream Aerospace,"500 Gulfstream Rd, Savannah, GA 31408",32.1391744,-81.1972886,32.139071699999995,-81.1972839,1076,671877.4,2112.785
Halcyon,"6105 Ollie Walk, Alpharetta, GA 30005",34.0952227,-84.21734029999999,34.095267,-84.2173837,62,28950.945,121.7404
Hamilton Mill,"2635 Hamilton Mill Rd, Buford, GA 30519",34.0793743,-83.917723,34.0793739,-83.91771829999999,94,51492.2,184.57416
Hartsfield-Jackson Atlanta Int'l Airport - Conc A,"6000 N Terminal Pkwy, Atlanta, GA 30320",33.641392,-84.445118,33.6418743,-84.4464593,102,56395.777,200.2826
Hartsfield-Jackson Atlanta Int'l Airport - Conc C,"7700 Spine Rd, Atlanta, GA 30320",33.64,-84.44,33.6404227,-84.4391842,9085,5415607.5,17838.896
Hickory Flat,"6114 Hickory Flat Hwy, Canton, GA 30115",34.1765998,-84.42100049999999,34.1766392,-84.4212988,69,33290.668,135.48529
Hills and Dales,"2110 Vernon Street, Lagrange, GA 30240",33.03462750000001,-85.0623713,,,,,
Hinesville,"877 W Oglethorpe Hwy, Hinesville, GA 31313",31.82152689999999,-81.6003522,31.8217126,-81.60023869999999,35,17843.816,68.72442
Hiram,"5223 Jimmy Lee Smith Parkway, Hiram, GA 30141",33.8876781,-84.7411929,33.8877805,-84.74086129999999,47,19008.758,92.28708
Howell Mill,"1942 Howell Mill Rd NW, Atlanta, GA 30318",33.8076775,-84.413082,33.8076602,-84.4129258,61,35797.527,119.77685
Hwy 96 and Houston Lake,"790 Highway 96, Bonaire, GA 31005",32.5539073,-83.6605872,32.5539117,-83.660594,87,51457.85,170.82927
Jefferson (GA),"156 Old Farm Road, Jefferson, GA 30549",34.123837,-83.604289,34.1236191,-83.60636439999999,562,351173.56,1103.5178
Jesse Jewell Parkway,"1917 Jesse Jewell Pkwy NE, Gainesville, GA 30501",34.3136392,-83.7962672,34.3132602,-83.79680259999999,280,172972.8,549.79535
Jett Ferry Road,"2480 Jett Ferry Rd, Dunwoody, GA 30338",33.9585312,-84.3029171,33.958534199999995,-84.30291319999999,116,66354.45,227.77237
Jimmy Carter Blvd.,"5455 Jimmy Carter Blvd, Norcross, GA 30093",33.9078235,-84.2055754,33.9078374,-84.2056159,76,44303.074,149.23016
Jodeco Road,"2155 Jodeco Rd, McDonough, GA 30253",33.4807281,-84.2231011,33.4819907,-84.2233526,37,20519.215,72.65153
Johns Creek,"3643 Peachtree Pkwy, Suwanee, GA 30024",34.0707055,-84.16637109999999,34.0707423,-84.1664157,112,65041.832,219.91815
Jonesboro Dwarf House,"7348 Tara Blvd, Jonesboro, GA 30236",33.553919,-84.36965409999999,33.5539213,-84.3696418,125,74566.734,245.44435
Kedron Village,"1100 N Peachtree Pkwy, Peachtree City, GA 30269",33.4405206,-84.59080589999999,33.4405184,-84.59080259999999,88,53114.7,172.79283
Kennesaw State University,"395 Cobb Ave NW, Kennesaw, GA 30144",34.0387489,-84.5830539,34.0384678,-84.5830737,1671,954992.1,3281.1
Kennesaw State University - Marietta,"1100 S Marietta Pkwy SE, Marietta, GA 30060",33.939042,-84.51909649999999,33.9390223,-84.51923699999999,502,296277.34,985.7045
Kingsland,"113 Lakes Blvd, Kingsland, GA 31548",30.7889277,-81.65117579999999,30.788933299999997,-81.65117289999999,152,94803.836,298.46033
Kroger/W. Marietta Crossing,"1000 Whitlock Ave NW, c/o Kroger Store GA-455",33.9533355,-84.5812941,33.9532889,-84.58140499999999,3379,2046561.5,6634.852
LaFayette Parkway,"1574 Lafayette Pkwy, Lagrange, GA 30241",33.0415283,-84.9745488,33.041533099999995,-84.97456439999999,104,61422.875,204.2097
Lake Dow,"860 Highway 81 E, McDonough, GA 30252",33.4393004,-84.122894,33.4392959,-84.12289489999999,72,43574.133,141.37595
Lake Oconee [GA],"2521 Towne Center Pkwy, Greensboro, GA 30642",33.541714,-83.20786,33.5425024,-83.2073616,29,17524.266,56.943092
Lake Park,"1015 Lakes Blvd, Lake Park, GA 31636",30.6828121,-83.2173825,30.682791399999996,-83.2178179,207,129676.625,406.45584
LakePoint,"94 Old Allatoona Rd SE, Cartersville, GA 30121",34.120328,-84.7458339,34.1203062,-84.74585040000001,114,66422.89,223.84526
Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,34.184633999999996,-84.1463685,140,74435.27,274.89767
Lassiter,"3046 Shallowford Rd, Marietta, GA 30062",34.0359969,-84.4611086,34.0359948,-84.4611097,77,44056.65,151.19373
Lavonia [GA],"20 Owens Dr, Lavonia, GA 30553",34.4480859,-83.12954669999999,34.4477725,-83.1293536,161,100397.32,316.13232
Lee Crossings,"1202 US Highway 19 S, Leesburg, GA 31763",31.6562022,-84.1736197,31.656230800000003,-84.1735988,99,59880.215,194.39194
Lenox Square,"3393 Peachtree Rd NE, Atlanta, GA 30326",33.8467259,-84.36241989999999,33.846550199999996,-84.3623738,24572,14821675,48248.47
Lilburn,"4801 Lawrenceville Hwy NW, Lilburn, GA 30047",33.8951128,-84.1410089,33.8951267,-84.14101099999999,77,43260.973,151.19373
Line Creek,"2720 Highway 54, Peachtree City, GA 30269",33.3962202,-84.60016019999999,33.396220899999996,-84.6001604,128,72923.125,251.33502
Locust Grove,"1005 Bandy Pkwy, Locust Grove, GA 30248",33.3516841,-84.12860309999999,33.3522781,-84.12894829999999,67,41728.82,131.55818
Loganville,"4321 Atlanta Hwy, Loganville, GA 30052",33.839706,-83.910068,33.8406854,-83.90874699999999,156,91570.76,306.31454
